page,stt,ma_so,nhom,ten_mon_an,ten_mon_an_en,nang_luong_kcal,chat_dam_g,chat_beo_g,chat_bot_duong_g,vitamin_a_mcg,beta_carotene_mcg,vitamin_c_mg,calcium_mg,iron_mg,zinc_mg,sodium_mg,cholesterol_mg,magnesium_mg,transfat_mg
12,1,VPF-000268,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Mỳ xào thập cẩm,Mixed stir-fried noodles,339.0,13.4,12.5,41.5,47.4,2503.9,27.2,,,,697.7,2130.0,,
12,2,VPF-000267,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Mỳ vịt tiềm,Braised duck noodle soup,656.0,34.1,28.3,81.2,351.0,3568.9,100.5,,,,617.9,98.8,,
12,3,VPF-000266,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu","Mỳ vằn thắn, sủi cảo","Wonton noodle soup, dumplings",373.0,24.2,12.0,40.6,603.0,329.0,5.9,,,,860.3,57.6,,
12,4,VPF-000265,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Mỳ thịt lợn,Pork noodle soup,445.0,17.6,20.8,46.8,1.0,,0.0,,,,1207.0,39.0,,
12,5,VPF-000264,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Mỳ thịt bò,Beef noodle soup,422.0,16.6,18.5,47.4,0.0,1890.0,16.0,,,,1209.0,18.0,,
12,6,VPF-000263,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Mỳ spaghetti thịt bò,Beef spaghetti,509.0,20.2,15.5,72.2,74.3,2029.2,34.4,,,,837.4,89.2,,
12,7,VPF-000262,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Mỳ spaghetti hải sản,Seafood spaghetti,340.0,14.2,12.0,42.0,10.0,17.0,13.0,,,,459.0,89.0,,
12,8,VPF-000261,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Mỳ Quảng,Quang-style noodles,453.0,18.3,7.7,77.8,162.3,28.1,1.8,,,,533.9,157.2,,
12,9,VPF-000260,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Miến ngan,Glass noodle soup with duck,327.0,5.5,14.9,42.8,81.0,138.0,13.0,,,,1449.0,26.0,,
12,10,VPF-000259,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Miến lươn xào,Stir-fried glass noodles with eel,442.0,21.7,21.1,41.3,1692.0,169.0,14.0,,,,842.0,128.0,,
12,11,VPF-000258,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Miến lươn nước,Glass noodle soup with eel,255.0,11.8,8.5,39.5,828.0,140.0,11.0,,,,1591.0,61.0,,
12,12,VPF-000257,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Miến gà,Glass noodle soup with chicken,300.0,9.5,9.0,45.4,54.0,,2.0,,,,1364.0,37.0,,
12,13,VPF-000256,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Hủ tiếu xào hải sản,Stir-fried hu tieu noodles with seafood,461.0,23.5,24.2,40.9,84.9,3831.8,27.6,,,,793.9,180.0,,
12,14,VPF-000255,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Hủ tiếu nước,Hu tieu noodle soup,454.0,34.8,10.7,54.5,1242.0,56.2,8.5,,,,580.1,239.0,,
12,15,VPF-000254,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Súp ngô cua,Corn and crab soup,145.0,9.5,3.5,18.8,91.3,0.0,0.0,,,,20.7,77.4,,
13,1,VPF-000253,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Súp nấm gà,Chicken mushroom soup,77.0,5.8,3.2,6.2,59.0,0.4,0.8,,,,263.1,46.0,,
13,2,VPF-000252,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Súp hải sản,Seafood soup,80.0,3.3,4.3,6.8,,,,,,,144.6,,,
13,3,VPF-000251,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Cháo vịt,Duck congee,296.0,7.5,14.2,34.5,270.0,4512.0,89.8,,,,28.0,26.6,,
13,4,VPF-000250,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Cháo trai,Freshwater clam congee,217.0,5.4,5.9,35.6,90.0,3157.0,37.0,,,,28.0,13.6,,
13,5,VPF-000249,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Cháo tim,Pork heart congee,214.0,11.6,5.5,29.5,4.0,69.0,4.0,,,,1800.0,68.0,,
13,6,VPF-000248,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Cháo thịt băm,Minced pork congee,,11.8,12.2,,,69.0,3.0,,,,1800.0,35.0,,
13,7,VPF-000247,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Cháo sườn,Pork rib congee,159.0,5.9,4.0,24.8,,,,,,,1530.0,,,
13,8,VPF-000246,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Cháo óc lợn,Pork brain congee,210.0,10.2,8.6,23.2,0.0,0.0,0.0,,,,243.7,1575.0,,
13,9,VPF-000245,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Cháo lươn,Eel congee,298.0,11.7,16.0,26.7,882.0,27.0,1.0,,,,416.7,61.7,,
13,10,VPF-000244,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Cháo lòng,Pork offal congee,278.0,25.5,9.3,23.2,873.0,0.0,2.0,,,,670.9,50.3,,
13,11,VPF-000243,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Cháo gà,Chicken congee,225.0,9.8,7.8,28.8,41.0,69.0,4.0,,,,1800.0,28.0,,
13,12,VPF-000242,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Cháo đỗ xanh,Mung bean congee,153.0,6.7,0.7,30.0,0.0,6.0,0.8,,,,355.0,0.0,,
13,13,VPF-000241,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Cháo đỗ đen,Black bean congee,158.0,4.0,,34.0,,,,,,,1.3,,,
13,14,VPF-000240,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Cháo dinh dưỡng tôm,Nutritious shrimp congee,200.0,6.9,5.3,31.3,,,,,,,1395.0,,,
13,15,VPF-000239,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Cháo dinh dưỡng thịt bò,Nutritious beef congee,317.0,9.0,6.6,55.4,,,,,,,1980.0,,,
14,1,VPF-000238,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Cháo chim câu,Pigeon congee,388.0,17.0,24.4,25.3,58.4,106.0,4.6,,,,280.8,76.0,,
14,2,VPF-000237,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Cháo bầu dục,Pork kidney congee,205.0,11.1,5.0,28.9,75.0,69.0,6.0,,,,1800.0,162.0,,
14,3,VPF-000236,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Bún vịt,Duck vermicelli soup,402.0,9.1,19.7,47.1,270.0,1370.0,62.8,,,,686.0,38.0,,
14,4,VPF-000235,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Bún thang,Hanoi-style chicken vermicelli soup,288.0,16.1,7.5,39.1,95.0,0.0,2.0,,,,1662.0,61.0,,
14,5,VPF-000234,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu","Bún riêu cua, ốc đậu",Crab noodle soup with snails and tofu,422.0,20.8,2.8,78.3,0.0,1173.82,28.7,,,,348.1,,,
14,6,VPF-000233,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Bún riêu cua,Crab noodle soup,275.0,5.9,3.6,54.8,210.0,1370.0,60.0,,,,2176.0,3.0,,
14,7,VPF-000232,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Bún ốc,Snail vermicelli soup,330.0,11.8,3.5,63.0,0.0,1370.0,60.0,,,,1319.0,3.0,,
14,8,VPF-000231,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Bún nem,Vermicelli with spring rolls,920.0,21.0,21.7,160.0,374.0,1427.0,114.0,,,,1168.0,87.0,,
14,9,VPF-000230,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Bún lòng lợn,Vermicelli with pork offal,399.0,24.7,13.1,39.7,6000.0,,18.0,,,,427.7,105.7,,
14,10,VPF-000229,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Bún giả cầy,Vermicelli with mock dog meat,669.0,23.7,19.6,99.1,31.6,,3.0,,,,374.0,63.2,,
14,11,VPF-000228,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Bún đậu mắm tôm thịt chân giò,"Vermicelli with fried tofu, shrimp paste, and pork hock",779.0,45.5,37.6,64.5,30.0,,0.8,,,,1151.0,89.0,,
14,12,VPF-000227,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Bún đậu mắm tôm,Vermicelli with fried tofu and shrimp paste,700.0,47.5,27.2,66.3,0.0,,0.1,,,,1106.0,,,
14,13,VPF-000226,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Bún dọc mùng thịt chân giò,Vermicelli soup with taro stem and pork hock,394.0,13.1,15.2,51.4,2.0,1370.0,60.8,,,,957.0,44.0,,
14,14,VPF-000225,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Bún dọc mùng sườn,Vermicelli soup with taro stem and pork ribs,326.0,10.6,10.0,48.4,0.0,0.0,60.0,,,,1598.0,29.0,,
14,15,VPF-000224,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Bún dọc mùng mọc,Vermicelli soup with taro stem and pork meatballs,287.0,10.9,5.8,47.9,2.0,1370.0,60.0,,,,1006.0,30.0,,
15,1,VPF-000223,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Bún chả,Grilled pork with vermicelli,518.0,25.8,11.0,90.3,6.0,,1.3,,,,1162.0,67.0,,
15,2,VPF-000222,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Bún chả cá,Fish cake vermicelli soup,635.0,21.7,30.0,69.6,77.3,2521.0,79.5,,,,1474.9,,,
15,3,VPF-000221,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Bún cá,Fish vermicelli soup,439.0,20.5,12.5,61.2,,6300.0,51.0,,,,2493.0,5.0,,
15,4,VPF-000220,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Bún bò Nam Bộ,Southern-style beef vermicelli,429.0,23.3,13.3,53.9,7.0,297.3,15.2,,,,329.6,34.5,,
15,5,VPF-000219,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Bún bò giò heo (Huế),Hue-style beef noodle soup with pork hock,524.0,28.3,16.7,65.1,123.0,1370.0,61.7,,,,686.9,45.4,,
15,6,VPF-000218,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Bánh đa trộn,Mixed rice cracker noodles,409.0,18.3,16.6,46.6,,1939.8,12.6,,,,875.1,25.3,,
15,7,VPF-000217,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Bánh đa nấu thịt,Rice cracker noodle soup with pork,191.0,11.7,8.4,17.2,1.0,238.7,11.1,,,,533.6,29.4,,
15,8,VPF-000216,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Bánh canh thịt heo,Thick noodle soup with pork,547.0,23.7,29.4,46.8,39.4,68.5,3.0,,,,497.8,78.8,,
15,9,VPF-000215,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Bánh canh thịt gà,Thick noodle soup with chicken,337.0,12.5,11.0,46.8,55.3,68.5,4.8,,,,371.1,36.9,,
15,10,VPF-000214,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Bánh canh cá rô,Thick noodle soup with perch,167.0,14.9,5.5,15.8,,1959.0,18.3,,,,591.0,159.3,,
15,11,VPF-000213,Các món khác,Salad rau củ,Vegetable salad,181.0,2.0,16.0,8.0,,348.0,11.0,,,,137.0,,,
15,12,VPF-000212,Các món khác,Nộm tai heo thập cẩm,Mixed pork ear salad,505.0,44.0,25.0,27.0,0.0,1505.0,20.0,,,,1045.0,123.0,,
15,13,VPF-000211,Các món khác,Nộm rau muống,Water spinach salad,230.0,10.8,15.9,7.7,0.0,13994.0,72.9,,,,986.0,0.0,,
15,14,VPF-000210,Các món khác,Nộm hoa chuối thịt gà,Banana blossom and chicken salad,604.0,34.1,29.3,50.1,103.7,3547.1,44.7,,,,263.2,69.1,,
15,15,VPF-000209,Các món khác,Nem tai,Pork ear salad,300.0,28.3,7.5,18.8,0.0,0.0,0.0,,,,617.0,148.0,,
16,1,VPF-000208,Các món khác,Nem lụi,Grilled pork skewers,382.0,22.2,25.2,16.7,11.6,85.1,5.6,,,,3025.0,69.4,,
16,2,VPF-000207,Các món khác,Lợn mẹt,Assorted pork platter,2460.0,176.0,135.0,135.0,2751.0,1592.0,45.0,,,,618.0,948.0,,
16,3,VPF-000206,Các món khác,Kiệu muối,Pickled scallions,12.0,0.7,,2.4,,,6.2,,,,170.0,,,
16,4,VPF-000205,Các món khác,Hành củ muối,Pickled shallots,20.0,1.3,,3.6,,16.2,,,,,306.0,,,
16,5,VPF-000204,Các món khác,Gỏi xoài,Mango salad,105.0,1.0,1.0,24.0,0.0,1207.0,45.0,,,,411.0,0.0,,
16,6,VPF-000203,Các món khác,Gỏi ngó sen,Lotus stem salad,615.0,35.8,33.8,42.4,18.6,1189.5,90.4,,,,522.6,161.2,,
16,7,VPF-000202,Các món khác,Dưa chuột,Cucumber,21.0,1.0,0.1,3.7,0.0,186.0,6.4,,,,16.7,0.0,,
16,8,VPF-000201,Các món khác,Củ đậu,Jicama,56.0,2.0,0.0,12.0,,,12.0,,,,,0.0,,
16,9,VPF-000200,Các món khác,Cà pháo muối,Pickled eggplant,7.0,0.7,,1.1,,22.0,,,,,406.0,,,
16,10,VPF-000199,Các món khác,Cá ngừ sống,Raw tuna,118.0,19.4,4.5,0.0,20.0,,0.0,,,,100.0,0.0,,
16,11,VPF-000198,Các món khác,Cà chua,Tomato,19.0,0.6,0.2,3.9,0.0,375.0,35.0,,,,11.3,0.0,,
16,12,VPF-000197,Các món khác,Bò xíu mại,Beef meatballs,423.0,33.0,29.0,7.0,,629.0,66.0,,,,789.0,106.0,,
16,13,VPF-000196,Các món khác,Bò cuốn lá cải,Beef wrapped in mustard greens,222.0,19.7,3.1,28.9,9.4,877.8,32.6,,,,80.0,46.3,,
16,14,VPF-000195,Các món khác,Bánh đa cuốn thập cẩm,Mixed rice paper rolls,615.0,42.0,30.2,43.2,369.0,4734.0,31.5,,,,166.6,356.6,,
16,15,VPF-000194,Món xào,Tim bầu dục xào cần tỏi,Stir-fried kidneys with celery and garlic,339.0,28.4,15.2,22.4,126.4,3358.7,62.5,,,,1344.2,5680.0,,
17,1,VPF-000193,Món xào,Thịt gà xào sả,Stir-fried chicken with lemongrass,241.0,23.2,16.4,0.0,137.0,,5.0,,,,467.0,86.0,,
17,2,VPF-000192,Món xào,Thịt trâu xào rau muống,Stir-fried buffalo meat with water spinach,283.0,30.6,14.9,2.1,,16791.0,70.0,,,,585.2,40.0,,
17,3,VPF-000191,Món xào,Thịt chim câu xào răm,Stir-fried pigeon with Vietnamese coriander,688.0,31.1,61.6,2.4,125.6,3.0,19.2,,,,883.7,163.4,,
17,4,VPF-000190,Món xào,Thịt bò xào su su,Stir-fried beef with chayote,203.0,21.9,10.9,4.2,0.0,0.0,1.0,,,,357.0,40.0,,
17,5,VPF-000189,Món xào,Thịt bò xào nấm,Stir-fried beef with mushrooms,182.0,22.5,8.5,3.9,0.0,829.0,2.0,,,,461.0,32.0,,
17,6,VPF-000188,Món xào,Thịt bò xào măng,Stir-fried beef with bamboo shoots,158.0,24.2,3.7,7.0,11.8,283.5,29.8,,,,1168.4,57.8,,
17,7,VPF-000187,Món canh,Thịt bò xào lúc lắc,Shaking beef,469.0,47.3,18.3,28.7,0.0,206.2,131.0,,,,582.0,84.0,,
17,8,VPF-000186,Món xào,Thịt bò xào hoa thiên lý,Stir-fried beef with Tonkin jasmine flowers,270.0,27.1,13.7,9.5,11.8,1172.0,99.0,,,,972.2,57.8,,
17,9,VPF-000185,Món xào,"Thịt bò xào hành tây, cà chua",Stir-fried beef with onions and tomatoes,281.0,23.7,14.1,14.8,,394.0,52.0,,,,491.0,40.0,,
17,10,VPF-000184,Món xào,Thịt bò xào đậu cove,Stir-fried beef with green beans,162.0,14.5,5.7,13.3,0.0,180.0,25.0,,,,404.0,18.0,,
17,11,VPF-000183,Món xào,Thịt bò xào dứa,Stir-fried beef with pineapple,275.0,24.8,11.0,19.3,,283.0,163.0,,,,542.0,40.0,,
17,12,VPF-000182,Món xào,Thịt bò xào cần tỏi,Stir-fried beef with celery and garlic,216.0,23.0,11.0,6.6,,46.0,50.0,,,,503.0,40.0,,
17,13,VPF-000181,Món xào,Sườn xào chua ngọt,Sweet and sour ribs,289.0,17.3,16.0,18.8,,103.7,66.6,,,,335.3,56.8,,
17,14,VPF-000180,Món xào,Su hào xào,Stir-fried kohlrabi,78.0,2.3,5.0,6.1,,17.6,3.2,,,,527.2,,,
17,15,VPF-000179,Món xào,Rau muống xào,Stir-fried water spinach,177.0,10.2,11.2,,,1679.0,70.0,,,,,,,
18,1,VPF-000178,Các món khác,Rau khoai lang xào tỏi,Stir-fried sweet potato leaves with garlic,114.0,4.0,8.0,6.5,,2379.0,15.3,,,,404.2,,,
18,2,VPF-000177,Các món khác,Rau cải xoong xào tỏi,Stir-fried watercress with garlic,83.0,5.4,5.2,3.6,,191.0,25.0,,,,997.3,,,
18,3,VPF-000176,Các món khác,Rau cải ngồng xào tỏi,Stir-fried broccoli stems with garlic,122.0,5.8,5.0,13.3,,9383.5,92.5,,,,493.1,,,
18,4,VPF-000175,Các món khác,Rau cải ngọt xào,Stir-fried Chinese mustard greens,62.0,1.1,5.0,3.1,,2444.0,20.8,,,,388.1,,,
18,5,VPF-000174,Các món khác,Rau cải chíp xào nấm,Stir-fried bok choy with mushrooms,216.0,14.3,11.7,13.6,,2681.0,26.0,,,,452.5,,,
18,6,VPF-000173,Các món khác,Rau cải bắp xào,Stir-fried cabbage,72.0,1.5,5.0,5.4,,52.0,24.0,,,,390.6,,,
18,7,VPF-000172,Các món khác,Rau bí xào tỏi,Stir-fried pumpkin leaves with garlic,95.0,6.0,5.0,6.4,,3880.0,23.0,,,,570.7,,,
18,8,VPF-000171,Các món khác,Ớt đỏ xào,Stir-fried red chili peppers,66.0,0.7,5.1,4.4,,1299.0,64.0,,,,404.6,167.6,,
18,9,VPF-000170,Các món khác,Ngọn su su xào,Stir-fried chayote shoots,63.0,2.2,5.0,2.4,,1552.0,8.8,,,,441.7,,,
18,10,VPF-000169,Các món khác,Mướp đắng xào trứng,Stir-fried bitter melon with eggs,140.0,7.5,10.0,,289.0,285.0,33.0,,,,752.7,495.4,,
18,11,VPF-000168,Các món khác,Mực xào thập cẩm,Stir-fried squid with mixed vegetables,154.0,11.3,6.2,13.3,5.0,151.0,66.0,,,,452.0,126.0,,
18,12,VPF-000167,Các món khác,Mực xào dứa,Stir-fried squid with pineapple,203.0,14.5,11.1,11.1,9.0,52.0,35.0,,,,340.0,208.0,,
18,13,VPF-000166,Các món khác,Mực xào dưa,Stir-fried squid with pickled mustard greens,175.0,85.0,11.1,4.1,9.0,447.0,6.0,,,,580.0,208.0,,
18,14,VPF-000165,Các món khác,Lươn xào sả ớt,Stir-fried eel with lemongrass and chili,358.0,27.7,27.5,,2700.0,456.0,,,,,464.0,,,
18,15,VPF-000164,Các món khác,Lòng xào dưa,Stir-fried pork intestines with pickled mustard greens,240.0,6.6,22.1,3.7,,78.6,8.8,,,,668.8,144.0,,
19,1,VPF-000163,Các món khác,"Lòng gà xào mướp, giá",Stir-fried chicken intestines with loofah and bean sprouts,196.0,16.5,10.5,9.1,996.0,611.0,33.0,,,,1307.0,217.0,,
19,2,VPF-000162,Các món khác,Khoai tây xào,Stir-fried potato,246.0,3.9,9.1,39.8,,9.0,18.5,,,,573.5,,,
19,3,VPF-000161,Các món khác,Gan xào giá,Stir-fried liver with bean sprouts,370.0,48.9,11.3,18.1,9660.0,84.0,58.0,,,,628.0,485.0,,
19,4,VPF-000160,Các món khác,Ếch xào măng,Frog stir-fried with bamboo shoots,203.0,23.6,11.2,2.0,16.6,15.7,9.4,,,,571.5,43.2,,
19,5,VPF-000159,Các món khác,Đậu cove xào,Stir-fried green beans,107.0,4.0,5.0,11.7,,144.0,20.0,,,,530.6,,,
19,6,VPF-000158,Các món khác,Củ cải xào trứng,Stir-fried radish with eggs,193.0,10.4,13.1,8.3,205.9,8.0,60.0,,,,994.8,575.0,,
19,7,VPF-000157,Các món khác,Củ cải xào,Stir-fried radish,38.0,1.4,2.0,3.7,,,27.0,,,,341.2,,,
19,8,VPF-000156,Các món khác,Bí xanh xào,Stir-fried winter melon,55.0,0.5,5.0,1.9,,4.0,12.8,,,,614.8,,,
19,9,VPF-000155,Các món khác,Bí đỏ xào,Stir-fried pumpkin,66.0,0.2,5.0,5.1,,2480.0,6.5,,,,535.3,,,
19,10,VPF-000154,Các món khác,Bê xào sả ớt,Veal stir-fried with lemongrass and chili,335.0,36.7,16.7,9.4,,124.3,11.9,,,,842.4,114.7,,
19,11,VPF-000153,Các món khác,Vịt rang,Stir-fried duck,2047.0,59.0,201.0,1.0,1377.0,,,,,,1492.0,388.0,,
19,12,VPF-000152,Các món khác,Tôm đồng rang,Stir-fried freshwater shrimp,103.0,7.4,3.7,10.0,6.0,,,,,,749.0,,,
19,13,VPF-000151,Các món khác,Tôm biển rang,Stir-fried sea shrimp,247.0,35.2,8.8,6.8,40.0,10.0,,,,,877.0,304.0,,
19,14,VPF-000150,Các món khác,Thịt lợn ba chỉ rang cháy cạnh,Crispy caramelized pork belly,798.0,50.0,65.0,5.0,10.0,,,,,,555.0,204.0,,
19,15,VPF-000149,Các món khác,Nhộng rang lá chanh,Stir-fried silkworm pupae with kaffir lime leaves,223.0,18.7,15.9,,,5.7,3.5,,,,398.2,,,
20,1,VPF-000148,Các món khác,Cua đồng rang,Stir-fried freshwater crab,224.0,15.6,16.6,,,7.7,5.9,,,,433.0,57.6,,
20,2,VPF-000147,Các món khác,Cua đồng rang,Stir-fried freshwater crab,207.0,15.0,11.0,12.0,252.0,,,,,,817.0,,,
20,3,VPF-000146,Các món khác,Trứng đúc thịt rán,Fried omelette with pork,282.0,10.7,26.2,0.8,202.0,8.0,,,,,119.0,508.0,,
20,4,VPF-000145,Các món khác,Trạch tẩm bột chiên,Battered fried loach fish,886.0,62.7,38.1,73.1,301.0,,,,,,71.9,258.0,,
20,5,VPF-000144,Các món khác,Tôm sốt cà chua,Shrimp in tomato sauce,105.0,16.5,2.9,3.1,18.0,217.0,22.0,,,,337.0,140.0,,
20,6,VPF-000143,Các món khác,Tôm lăn bột chiên,Battered fried shrimp,305.0,36.1,15.5,31.8,20.0,5.0,,,,,44.4,45.6,,
20,7,VPF-000142,Các món khác,Tôm chiên,Fried shrimp,145.0,17.6,7.9,,20.0,5.0,,,,,148.0,152.0,,
20,8,VPF-000141,Các món khác,Thịt lợn xá xíu,Char siu pork,846.0,503.0,68.2,7.3,29.4,3.0,10.0,,,,415.0,176.4,,
20,9,VPF-000140,Các món khác,Thịt lợn rán,Fried pork,195.0,11.6,16.5,,7.0,,1.0,,,,43.0,48.0,,
20,10,VPF-000139,Các món khác,Thịt lợn chiên xù,Breaded fried pork,204.0,12.3,14.3,6.6,1.0,,,,,,50.0,40.0,,
20,11,VPF-000138,Các món khác,Thịt lợn băm viên rán,Fried minced pork balls,319.0,17.7,27.6,,,,,,,,60.0,65.0,,
20,12,VPF-000137,Các món khác,Thịt ếch tẩm bột chiên,Battered fried frog meat,476.0,26.5,30.9,22.9,154.4,0.8,,,,,715.4,157.4,,
20,13,VPF-000136,Các món khác,Thịt bò bít tết khoai tây chiên,Beef steak with French fries,210.0,20.0,8.0,13.0,1.0,3.0,6.0,,,,350.0,36.0,,
20,14,VPF-000135,Các món khác,Sườn lợn rán,Fried pork ribs,452.0,26.6,36.4,5.0,,,,,,,90.0,97.5,,
20,15,VPF-000134,Các món khác,Ngô chiên,Fried corn,806.0,10.5,43.1,93.8,60.0,15.8,,,,,0.8,27.0,,
21,1,VPF-000133,Các món khác,Nem rán / Chả giò chiên,Fried spring rolls,102.0,7.8,7.5,83.1,7.0,138.0,7.0,,,,18.0,29.0,,
21,2,VPF-000132,Các món khác,Mực trứng chiên,Fried squid with roe,462.0,50.8,24.4,9.9,32.0,,15.0,,,,140.8,745.6,,
21,3,VPF-000131,Các món khác,Mực ống nhồi thịt chiên bơ,Butter-fried stuffed squid,601.0,51.2,34.3,22.1,141.1,461.8,13.1,,,,688.6,687.0,,
21,4,VPF-000130,Các món khác,Lạc chiên muối,Salted fried peanuts,618.0,27.5,49.5,15.5,,10.0,,,,,1401.7,,,
21,5,VPF-000129,Các món khác,Khoai tây chiên,French fries,466.0,1.6,10.0,17.0,,4.0,8.0,,,,387.5,,,
21,6,VPF-000128,Các món khác,Khoai môn chiên,Fried taro,579.0,10.7,21.2,87.3,,65.0,8.0,,,,,,,
